member_path,file_size,compress_size,crc32_hex,sha256,extension,classification,interesting,notes,extracted_relative_path
google/firebase/firestore/proto/mutation.proto,2864,1326,635c8f81,0601476e89c4beac72e2dfca24f4d911a8d6c1378dd7dda083dc0e46d28fde58,.proto,generic_apk_member,False,[],
google/firebase/firestore/proto/target.proto,4772,1943,64f725d2,37796181ad768fe5241879719ff16179bb80b60759de9a0b97156c8438af3721,.proto,generic_apk_member,False,[],
google/firestore/admin/index.proto,6063,2209,3a05ead0,ae20c9277195bb1ab8cd5d23f4939f78c275aeb87e19cb63e9e9b66acd6a8c37,.proto,generic_apk_member,False,[],
google/firestore/v1/aggregation_result.proto,1745,876,fe3c9d5a,26bbb0808af0a7810ffa1c8061e76ef3c8606bd403f9b30e066ec60361b970be,.proto,generic_apk_member,False,[],
google/firestore/v1/bloom_filter.proto,3028,1359,b1a3b426,45af2ee53295dc4a8c0a229cf056a68483f86ece44df8863d6beec907bbc7914,.proto,generic_apk_member,False,[],
google/firestore/v1/common.proto,3257,1371,63c7456c,77c19e85b00e180995d9d9742d14da91707241411c437a8a24cc65fd746abf51,.proto,generic_apk_member,False,[],
google/firestore/v1/document.proto,5234,1977,caaf134c,062c465c669759ad3b1927aebf6809e90e18b31b9fb6dd0d1f96131779744cd8,.proto,generic_apk_member,False,[],
google/firestore/v1/firestore.proto,34638,7380,1cac428a,9df380e57c2be5cf0480e7bad2750f422b392dbe96f366e6c767e1c726bfc2a8,.proto,generic_apk_member,False,[],
google/firestore/v1/query.proto,15832,4591,4027d083,b47fac03396d19af127ab47b1dc088388d6dc821dfa1627f4fa6d6b2bd6de2e1,.proto,generic_apk_member,False,[],
google/firestore/v1/write.proto,12119,3579,99b6cef5,c056adff4d79a4a4c57093bdf6ef9cc71a031a39ca4583a7a698a6d9c3f1affc,.proto,generic_apk_member,False,[],
google/protobuf/any.proto,6154,2621,6b989f3d,bcf5de6ce463b1a38ff76b77955aa7e580b4ec12af34a927b1d45c9efb0faf66,.proto,generic_apk_member,False,[],
google/protobuf/api.proto,7728,2914,13a84c7a,e1745f7d6e9953f624b027b37da29ffc6521c45bce9aa96f39666748879fc915,.proto,generic_apk_member,False,[],
google/protobuf/duration.proto,4892,2058,9b07dda3,a3f7301ff2956ec2e30c2241ece07197e4a86c752348d5607224819d4921c9fe,.proto,generic_apk_member,False,[],
google/protobuf/empty.proto,2363,1206,219bbbf3,ecef3d54cc9e079673b9816c67bac770f7f3bf6dada2d4596ba69d71daa971e6,.proto,generic_apk_member,False,[],
google/protobuf/field_mask.proto,8185,3123,55287755,17b0f342cc3a262e317d56884f3f575afbfac512ad0579349cc7450e41f26891,.proto,generic_apk_member,False,[],
google/protobuf/source_context.proto,2341,1194,3f44a029,37d3401de89af1d1496fc949924a5f2011bd2fadfbeb0da1caa277159a96776d,.proto,generic_apk_member,False,[],
google/protobuf/struct.proto,3778,1670,e3408016,1bf07ba8b9a24e3a0390dddac3ad0db41c63287d252788b02398220b9abc900f,.proto,generic_apk_member,False,[],
google/protobuf/timestamp.proto,6449,2821,4bb1d7eb,14052c6042c1dd2d0b50245f2812eaab6eaf82db0b6e8ce483eae527f73b6ee8,.proto,generic_apk_member,False,[],
google/protobuf/type.proto,6367,2377,263ede1f,e230e0e4aeb87c95e9f1c6acbfc0c713db3f88094f149b154717a51d020f750b,.proto,generic_apk_member,False,[],
google/protobuf/wrappers.proto,4044,1546,0ab28aa0,a26c1d6ec73a592ac31796289a61ceffe2db2453ff427dfdd7697aac50844280,.proto,generic_apk_member,False,[],
googleid.properties,52,38,18d81672,00878ddcdd49cdd9f37b7dd5c0acd1a0f62705e3b2c2c4046042bd9fb6bd7964,.properties,generic_apk_member,False,[],
integrity.properties,54,39,09526ed6,4288c259a7390b19d95cd67e82dbbdfe6aa5eafc4ef40d87f6fb96022d71a7ce,.properties,generic_apk_member,False,[],
kotlin/annotation/annotation.kotlin_builtins,926,559,d36c8b5b,f7c93e7067ca12ba9b3d94c6e540e4c23cb6fdd8c9aff704b553caba650fc357,.kotlin_builtins,generic_apk_member,False,[],
kotlin/collections/collections.kotlin_builtins,3685,1521,f41c30cf,539b85c2403f6ef0638161ad99df7b11256412e9411335ed2ea3931a3efd7c76,.kotlin_builtins,generic_apk_member,False,[],
kotlin/coroutines/coroutines.kotlin_builtins,200,157,c69fe143,59a6d632b8a9f5dba26f2a689c3865e195351df7c3c08aa1669fe0df9f9eb883,.kotlin_builtins,generic_apk_member,False,[],
kotlin/internal/internal.kotlin_builtins,646,394,d8d2330d,c76b70a3db1eccbe42ea91a53667d7661edfc615409d3d6e574b5843b1e2a05e,.kotlin_builtins,generic_apk_member,False,[],
kotlin/kotlin.kotlin_builtins,17783,5004,f8dceab9,0633ac9c37e96556927bd7224a5d31c098e13b1416e48290d50bd502aed62d3b,.kotlin_builtins,generic_apk_member,False,[],
kotlin/ranges/ranges.kotlin_builtins,3305,1264,7f91df9f,b59c1b5a9a491df799eee202ad919376009bd4f822d7e9fcf79c20b350503852,.kotlin_builtins,generic_apk_member,False,[],
